route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_short_name
Erb West,3,,,,5,,5
Highland,3,,,,24,,24
Queen South,3,,,,25,,25
Chicopee,3,,,,27,,27
Victoria Hills,3,,,,20,,20
Elmira,3,,,,21,,21
Laurentian West,3,,,,22,,22
Idlewood,3,,,,23,,23
Keats Way,3,,,,29,,29
Glasgow,3,,,,4,,4
University/Fairview Park,3,,,,8,,8
Huron Industrial AM Special,3,,,,9931,,9931
Kitchener Train Stn. Shuttle,3,,,,9935,,9935
Lakeshore,3,,,,9,,9
King East Special,3,,,,9986,,9986
Christopher,3,,,,59,,59
Rt. 7 PM Special,3,,,,9985,,9985
iXpress Special,3,,,,9982,,9982
Rt 32 and 7 Evening Special,3,,,,9983,,9983
KCI-Downtown Special,3,,,,9981,,9981
UW Special 1,3,,,,9906,,9906
UW Special 2,3,,,,9907,,9907
Rt 9 & Rt 12 Special,3,,,,9904,,9904
St David Special,3,,,,9905,,9905
SD-Auburn/SD-Chesapeake/SMH-S1 Express Special,3,,,,9902,,9902
Elmwood,3,,,,58,,58
SD-Dansbury/BCI-Auburn/SMH-S2 Xp Special,3,,,,9901,,9901
St. Andrews,3,,,,55,,55
Lisbon Pines,3,,,,54,,54
Blair Road,3,,,,57,,57
Dunbar,3,,,,56,,56
Hespeler Road,3,,,,51,,51
Franklin Boulevard,3,,,,53,,53
Rt 19/SJAM-Erbsville/Rt 13 Special,3,,,,9909,,9909
St. B Poplar-Guelph PM,3,,,,9851,,9851
St. B Jamieson-Cooper/JHSS Melran,3,,,,9852,,9852
Forest Glen/Conestoga College Express,3,,,,116,,116
CBC/GCI PM/ARC Industries,3,,,,9854,,9854
St. B Melran PM,3,,,,9855,,9855
GCI Route 60 Special,3,,,,9858,,9858
Fairview Park/Ainslie Street,3,,,,52,,52
RCSS-Rolling Meadows/SMH-Max Becker,3,,,,9911,,9911
RCSS-Westmount Special,3,,,,9910,,9910
RCSS-Elm Ridge/SMH-Ottawa South Special,3,,,,9913,,9913
RCSS-Highview/SMH-Activa Special,3,,,,9912,,9912
SMH-Keewatin/SMH-Erinbrook Special,3,,,,9915,,9915
SD-Eastbridge/BCI-Dansbury Special,3,,,,9914,,9914
SMH-Doon Valley Special,3,,,,9917,,9917
Con Col Express/SMH-Bechtel Special,3,,,,9916,,9916
