stop_lat,zone_id,stop_lon,stop_id,stop_desc,stop_name,location_type
43.463747,,-80.524582,1960,easyGO 1960,Caroline / Erb,0
43.46414,,-80.525997,1961,easyGO 1961,Erb / Father David Bauer,0
43.370595,,-80.313938,1610,easyGO 1610,Dundas / Roxboro,0
43.372242,,-80.316608,1611,easyGO 1611,Dundas / Jarvis,0
43.381787,,-80.304962,1363,easyGO 1363,Glamis / Carter,0
43.414648,,-80.503563,2873,easyGO 2873,Williamsburg / Dinison,0
43.416247,,-80.505322,2872,easyGO 2872,Williamsburg / Pinedale,0
43.418562,,-80.507933,2871,easyGO 2871,Williamsburg / Ottawa,0
43.419653,,-80.506583,2870,easyGO 2870,Ottawa / Howe,0
43.415867,,-80.496163,2877,easyGO 2877,Dunsmere / Colebrook,0
43.414675,,-80.498168,2876,easyGO 2876,Dunsmere / Radcliffe,0
43.41426,,-80.499869,2875,easyGO 2875,Dunsmere / Bosworth,0
43.41327,,-80.502035,2874,easyGO 2874,Williamsburg / Dinison,0
43.414867,,-80.492465,2879,easyGO 2879,Laurentian / Briar Knoll,0
43.416309,,-80.493656,2878,easyGO 2878,Dunsmere / Laurentian,0
43.440595,,-80.498447,3355,easyGO 3355,Queens / Highland,0
43.439347,,-80.499678,3354,easyGO 3354,Queens / Spadina,0
43.438092,,-80.510585,3357,easyGO 3357,Highland / Lawrence,0
43.439443,,-80.508153,3356,easyGO 3356,Highland / Belmont,0
43.43633,,-80.503788,3351,easyGO 3351,Queens / Belmont,0
43.435197,,-80.505828,3350,easyGO 3350,Queens / Community Trail,0
43.437675,,-80.500898,3353,easyGO 3353,Queens / St Marys Hospital,0
43.437062,,-80.502088,3352,easyGO 3352,Queens / South,0
43.426763,,-80.529348,3359,easyGO 3359,Queens / Westheights,0
43.43639,,-80.513563,3358,easyGO 3358,Highland / Westmount,0
43.5091,,-80.5173,3781,easyGO 3781,Chesapeake / Brigantine,0
43.414458,,-80.479017,1768,easyGO 1768,Forest Glen Terminal,0
43.414385,,-80.478892,1769,easyGO 1769,Forest Glen Terminal,0
43.382662,,-80.309812,1361,easyGO 1361,Elgin / Regal,0
43.413472,,-80.442312,1762,easyGO 1762,Wilson /Kuntz Electroplating,0
43.415405,,-80.44227,1763,easyGO 1763,Wilson / Goodrich,0
43.409265,,-80.441278,1760,easyGO 1760,Wabanaki / Wilson,0
43.410893,,-80.441718,1761,easyGO 1761,Wilson / Wabanaki,0
43.414117,,-80.478895,1766,easyGO 1766,Forest Glen Terminal,0
43.414263,,-80.478952,1767,easyGO 1767,Forest Glen Terminal,0
43.420792,,-80.442552,1764,easyGO 1764,Wilson / Fairway,0
43.41392,,-80.478842,1765,easyGO 1765,Forest Glen Terminal,0
43.493252,,-80.564747,1142,easyGO 1142,Highpoint / Cornerbrook,0
43.491195,,-80.564522,1143,easyGO 1143,Highpoint / Wintergreen,0
43.49483,,-80.559548,1140,easyGO 1140,Northlake / Green Meadow,0
43.493962,,-80.562523,1141,easyGO 1141,Northlake / Pine Island,0
43.484945,,-80.559987,1146,easyGO 1146,Highpoint / Toll Gate,0
43.487193,,-80.556668,1147,easyGO 1147,Toll Gate / Glen Forrest,0
43.488437,,-80.563307,1144,easyGO 1144,Highpoint / Rolling Hills,0
43.48682,,-80.563315,1145,easyGO 1145,Highpoint / Dogwood,0
43.486143,,-80.553573,1148,easyGO 1148,Glen Forrest / Teakwood,0
43.48567,,-80.55156,1149,easyGO 1149,Cedarbrae / Glen Forrest,0
43.41026,,-80.510513,2966,easyGO 2966,Wilderness / Activa,0
43.498,,-80.4944,3787,easyGO 3787,Dansbury / Forestlawn,0
43.403633,,-80.305995,1546,easyGO 1546,Franklin / Turnbull,0
43.405675,,-80.306625,1547,easyGO 1547,Franklin / Sheldon,0
43.39893,,-80.304452,1544,easyGO 1544,Franklin / Bishop,0
43.40122,,-80.305217,1545,easyGO 1545,Franklin / Raglin,0
43.392358,,-80.302303,1542,easyGO 1542,Franklin / Saginaw,0
43.396343,,-80.303648,1543,easyGO 1543,Franklin / Lindsay,0
43.381108,,-80.29918,1540,easyGO 1540,Franklin / Avenue,0
43.385247,,-80.300802,1541,easyGO 1541,Franklin / Robson,0
43.407877,,-80.307348,1548,easyGO 1548,Franklin / Stafford,0
43.410413,,-80.30808,1549,easyGO 1549,Franklin / Pinebush,0
43.4981,,-80.5036,3784,easyGO 3784,Bridge / Lexington,0
43.399795,,-80.473807,1784,easyGO 1784,Trillium / Mcbrine,0
43.400977,,-80.468495,1785,easyGO 1785,Trillium / Strasburg,0
43.402248,,-80.463315,1787,easyGO 1787,Trillium / Adam Ferrie,0
43.391406,,-80.319366,1388,easyGO 1388,Cambridge Centre Terminal,0
43.39136,,-80.319659,1389,easyGO 1389,Cambridge Centre Terminal,0
43.383328,,-80.32022,1384,easyGO 1384,Hespeler / Munch,0
43.391227,,-80.319608,1385,easyGO 1385,Cambridge Centre Terminal,0
43.391255,,-80.31942,1386,easyGO 1386,Cambridge Centre Terminal,0
43.391296,,-80.319152,1387,easyGO 1387,Cambridge Centre Terminal,0
43.388972,,-80.311752,1380,easyGO 1380,Elgin / Glenbrook,0
43.386723,,-80.313593,1381,easyGO 1381,Elgin / Sekura,0
43.384022,,-80.313643,1382,easyGO 1382,Munch / Kovac,0
43.383192,,-80.317802,1383,easyGO 1383,Munch / Sekura,0
43.5773,,-80.5632,3827,easyGO 3827,Arthur / Listowel,0
43.5827,,-80.5624,3826,easyGO 3826,Arthur / South Parkwood,0
43.5845,,-80.5623,3825,easyGO 3825,Arthur / Whippoorwill,0
43.5894,,-80.5615,3824,easyGO 3824,Arthur / Howard,0
43.5923,,-80.5634,3823,easyGO 3823,First / Snyder,0
43.5934,,-80.5642,3822,easyGO 3822,Snyder / Second,0
43.5952453,,-80.56395574,3821,easyGO 3821,Snyder / Brubacher,0
43.5969,,-80.5637,3820,easyGO 3820,Snyder / South,0
43.5406,,-80.5534,3829,easyGO 3829,King / Front,0
43.5441,,-80.5491,3828,easyGO 3828,Sawmill / Parkside,0
43.4436861,,-80.52247756,3911_merged_998606,easyGO 3911,Westmount / Chopin,
43.455053,,-80.519694,2768,easyGO 2768,Union / Severn,0
43.44357,,-80.512032,2762,easyGO 2762,Belmont / Victoria,0
43.478062,,-80.484493,1945,easyGO 1945,Lancaster / Lang,0
43.383328,,-80.29228,1369,easyGO 1369,Burnett / Buchanan,0
43.461177,,-80.46435,1077,easyGO 1077,Frederick / Lois,0
43.5076,,-80.5266,3759,easyGO 3759,Frobisher / Mcmurray,0
43.5102,,-80.5244,3758,easyGO 3758,Frobisher / Superior,0
43.5078,,-80.4974,3751,easyGO 3751,University / Woolwich Place,0
43.5108,,-80.4975,3750,easyGO 3750,University / New Bedford,0
43.5189,,-80.5087,3753,easyGO 3753,University / Country Squire,0
43.518,,-80.5028,3752,easyGO 3752,University / Sportsplex,0
43.5146,,-80.5195,3755,easyGO 3755,Northfield / Toman,0
43.5172,,-80.5179,3754,easyGO 3754,Northfield / University,0
43.5119,,-80.5233,3757,easyGO 3757,Frobisher / Bridge,0
43.5119,,-80.5213,3756,easyGO 3756,Northfield / Bridge,0
43.366572,,-80.320853,2190,easyGO 2190,George / James,0
